loaded manhattan3500_Olson.g2o with 3500 vertices and 5598 measurements
graph is fixed by node 3499
# Using CHOLMOD poseDim -1 landMarkDim -1 blockordering 1
Preparing (no marginalization of Landmarks)
iteration= 89	 chi2= 366.127802	 time= 0.00880062	 cumTime= 1.29323	 edges= 5598	 schur= 0	 lambda= 0.626618	 levenbergIter= 1
iteration= 90	 chi2= 366.067330	 time= 0.0190375	 cumTime= 1.31227	 edges= 5598	 schur= 0	 lambda= 0.835491	 levenbergIter= 2
iteration= 91	 chi2= 365.909446	 time= 0.0173094	 cumTime= 1.32958	 edges= 5598	 schur= 0	 lambda= 1.113988	 levenbergIter= 2
iteration= 92	 chi2= 365.883236	 time= 0.00911718	 cumTime= 1.33869	 edges= 5598	 schur= 0	 lambda= 0.742659	 levenbergIter= 1
iteration= 93	 chi2= 365.767722	 time= 0.0176411	 cumTime= 1.35633	 edges= 5598	 schur= 0	 lambda= 0.990212	 levenbergIter= 2
iteration= 94	 chi2= 365.561297	 time= 0.018954	 cumTime= 1.37529	 edges= 5598	 schur= 0	 lambda= 1.320282	 levenbergIter= 2
iteration= 95	 chi2= 365.471268	 time= 0.0104961	 cumTime= 1.38578	 edges= 5598	 schur= 0	 lambda= 0.880188	 levenbergIter= 1
iteration= 96	 chi2= 365.342668	 time= 0.0185467	 cumTime= 1.40433	 edges= 5598	 schur= 0	 lambda= 1.173584	 levenbergIter= 2
iteration= 97	 chi2= 365.259346	 time= 0.00967268	 cumTime= 1.414	 edges= 5598	 schur= 0	 lambda= 0.782390	 levenbergIter= 1
iteration= 98	 chi2= 365.149079	 time= 0.0185319	 cumTime= 1.43254	 edges= 5598	 schur= 0	 lambda= 1.043186	 levenbergIter= 2
iteration= 99	 chi2= 365.102398	 time= 0.0105737	 cumTime= 1.44311	 edges= 5598	 schur= 0	 lambda= 0.695457	 levenbergIter= 1
iteration= 100	 chi2= 365.020911	 time= 0.0177291	 cumTime= 1.46084	 edges= 5598	 schur= 0	 lambda= 0.927277	 levenbergIter= 2
iteration= 101	 chi2= 364.853692	 time= 0.0189033	 cumTime= 1.47974	 edges= 5598	 schur= 0	 lambda= 1.236369	 levenbergIter= 2
iteration= 102	 chi2= 364.785253	 time= 0.0109261	 cumTime= 1.49067	 edges= 5598	 schur= 0	 lambda= 0.824246	 levenbergIter= 1
iteration= 103	 chi2= 364.662388	 time= 0.0184498	 cumTime= 1.50912	 edges= 5598	 schur= 0	 lambda= 1.098994	 levenbergIter= 2
